idAdresse;noVoie;B_T_Q;typeVoie;nomVoie;idcodeDepartement_codeCommune
1;347;;RUE;DU CHATEAU;1103
2;4;;BD;EDOUARD BAUDOIN;6004
3;20;B;RUE;MARCEAU;6088
4;550;;RTE;DES VESPINS RN7;6123
5;9300;;RES;LES ARPEGES BD DES ABA;13005
6;27;;RUE;DU GRAND MADIER;13028
7;360;;AV;DU PRADO;13208
8;5076;F;PARC;DESSUARD;13212
9;1194;;RUE;DE NORMANDIE;14338
10;30;;ALL;DES NOISETIERS;14366
11;11;;RUE;ROUGET DE L ISLE;17300
12;13;;RUE;BERTHE MORISOT;25056
13;1;;RUE;DU POHER;29232
14;2;;RUE;DES JARDINS;29260
15;5;;AV;DU COMMANDANT TAILLANDIER;31555
16;15;;RUE;PAUL DENUCE;33063
17;176;;RUE;SAINTE CATHERINE;33063
18;822;G;;LA BAYNASSE SUD;33097
19;9;;RUE;DE BELFORT;33449
20;183;;RUE;MARC ANTOINE MENARD;34145
21;50;;AV;ANDRE CHASSEFIERE;34150
22;8;;PL;DES ETATS DU LANGUEDOC;34199
23;7;;RUE;JEAN-JACQUES ROUSSEAU;37156
24;197;;AV;DE GRAMMONT;37261
25;48;;BD;MAL FOCH;38185
26;210;;RTE;DU TAILLEUR;40266
27;199;;RES;MER ET GOLF-LE BOUCANIER;40328
28;3;;ALL;JEAN PERRIN;44143
29;12;;RUE;FERDINAND BUISSON;44184
30;35;;AV;DE CHAMPAGNE;51230
31;26;;RUE;MESSIER;54395
32;5794;;;GOLF SAINT LAURENT;56161
33;5;;RUE;DE PRUNEVEAUX;58194
34;118;;BD;DU GENERAL DE GAULLE;59512
35;247;;RUE;DE NOTRE DAME DU THIL;60057
36;34;;RUE;DE LA VILLE;60155
37;15;;SQ;JEAN BAPTISTE CLEMENT;60159
38;84;;AV;JEAN JAURES;60524
39;54;;RUE;DE LA BUSSIERE;69149
40;15;;RUE;ARTAUD;69384
41;1;;AV;D ABONDANCE;74119
42;950;;AV;DU MONT D ARBOIS;74236
43;110;;RTE;DE LA TELECABINE;74238
44;2308;;AV;DES VALLEES;74278
45;22;;BD;SAINT MARCEL;75105
46;45;;BD;DE MAGENTA;75110
47;14;;AV;DE LA REPUBLIQUE;75111
48;160;;RUE;SAINT MAUR;75111
49;11;;RUE;DU MOULIN JOLY;75111
50;36;;RUE;ERARD;75112
51;220;;RUE;DE CHARENTON;75112
52;17;;RUE;D AUSTERLITZ;75112
53;60;A;RUE;EMERIAU;75115
54;4;;RUE;SQUARE CARPEAUX;75118
55;36;;AV;DE CLICHY;75118
56;68;;RUE;MARCADET;75118
57;16;;AV;ALEXANDRE ANQUETIN;76217
58;5;;PARC;DE LA BRESLE;76451
59;4;;RUE;FRANCOIS LAPERT;76655
60;5;B;RUE;DE LA SOLIDARITE;77118
61;4;;ALL;HELENE LAZAREFF;78350
62;1;;AV;DE DENTON;78423
63;15;;RUE;ROBERT DESNOS;78545
64;1;;RUE;MAL DE LATTRE DE TASSIGNY;78545
65;53;;RUE;DE MAREIL;78551
66;1;;RUE;MAETERLINCK;78586
67;2;;RUE;DIVISION LECLERC;78640
68;;;;LES SAVELS;83062
