idBien;surfaceCarrez;codeTypeLocal;surfaceReelle;nbrePiecePrincipale;idAdresse;idBien_fusionne
1;48,22;2;48;3;1;1-A-302-12
2;39,11;2;40;1;2;2-CP-186-132
3;80,25;2;82;3;3;3-LS-169-99
4;27,51;2;27;1;4;4-AO-348-242
5;47,33;2;47;2;5;5-AW-224-218
6;92,03;2;94;5;5;5-AW-224-206
7;25,31;2;24;1;6;6-AB-69-2
8;70,84;2;70;3;7;7-843-C-21-112
9;67,19;2;66;3;8;8-873-A-97-1080
10;67,33;2;70;3;8;8-873-A-97-571
11;18,89;2;19;1;9;9-AC-181-155
12;32,77;2;33;2;9;9-AC-181-110
13;105,37;1;99;4;10;10-BH-93-32
14;31,99;2;34;2;11;11-CZ-138-6
15;96,21;1;100;5;12;12-MZ-143-6
16;30,86;2;31;1;13;13-KI-28-305
17;66,21;2;67;3;14;14-BO-199-3
18;45,58;2;46;2;15;15-834-AB-141-9
19;23,2;2;27;1;16;16-EK-259-8
20;13,1;2;12;1;17;17-HD-203-12
21;29;2;29;2;18;18-CA-93-89
22;29,45;2;29;2;18;18-CA-93-122
23;51,4;2;51;2;19;19-DL-118-207
24;16,79;2;18;1;20;20-AX-195-1
25;51,4;2;51;2;21;21-CA-49-19
26;68,22;2;85;3;22;22-BI-110-3
27;88,45;1;89;4;23;23-BM-159-3
28;42,94;2;46;2;24;24-DP-550-33
29;76,48;2;77;4;25;25-DI-69-25
30;73,9;2;77;4;25;25-DI-69-27
31;48,23;1;53;3;26;26-AB-1163-108
32;48,71;2;53;3;26;26-AB-1163-61
33;49,3;2;53;2;26;26-AB-1163-44
34;48,49;1;60;3;26;26-AB-1163-87
35;49,91;2;48;2;27;27-AN-156-199
36;46,3;2;45;2;28;28-CO-52-1170
37;47,24;2;48;2;29;29-CS-148-41
38;81,09;2;79;4;30;30-AI-162-404
39;39,69;2;39;2;31;31-CH-64-11
40;43,85;2;44;3;32;32-G-1476-120
41;43,57;2;38;3;32;32-G-1476-135
42;108,78;2;124;4;33;33-BO-246-9
43;89,84;2;71;3;34;34-KM-15-7
44;48,35;2;48;2;35;35-BE-59-17
45;19,11;2;18;1;36;36-AB-396-4
46;97,39;2;97;5;37;37-AV-82-124
47;31,73;2;32;1;38;38-AE-239-1
48;49,89;2;51;2;39;39-AI-192-27
49;20,02;2;20;1;40;40-AY-167-144
50;34,86;2;33;2;41;41-AL-5-73
51;39,05;2;39;2;42;42-I-2810-68
52;18,93;2;20;1;43;43-G-876-572
53;88,59;2;88;4;44;44-AB-318-5
54;30,05;2;41;2;45;45-AR-45-28
55;32,3;2;32;2;46;46-BA-48-15
56;120,28;2;120;4;47;47-AA-43-23
57;17,94;2;28;2;48;48-AD-10-42
58;28,39;2;28;2;49;49-AH-72-23
59;18;2;41;2;50;50-CT-43-18
60;40,05;2;40;2;50;50-CT-43-27
61;15,31;2;17;1;50;50-CT-43-54
62;51,44;2;51;3;51;51-DA-17-21
63;29,32;2;27;1;51;51-DA-17-40
64;10,06;2;10;1;52;52-EN-22-30
65;88,3;2;88;4;53;53-DU-4-103
66;47,05;2;46;2;53;53-DU-4-210
67;24,82;2;25;1;53;53-DU-4-226
68;23,98;2;18;1;54;54-AI-16-7
69;24,01;2;30;1;54;54-AI-16-15
70;53,59;2;39;2;55;55-AO-48-134
71;51,43;2;51;2;55;55-AO-48-155
72;24,3;2;25;2;56;56-BJ-73-60
73;61,52;2;59;4;57;57-BN-25-44
74;57,27;2;58;3;58;58-AT-125-261
75;65,32;2;67;4;58;58-AT-125-281
76;23,98;2;25;1;59;59-AB-313-8
77;35,32;2;40;2;60;60-BI-91-10
78;89,41;2;89;4;61;61-AN-50-91
79;106,19;2;107;5;62;62-BM-115-11
80;67,76;2;70;4;63;63-AD-12-360
81;40,55;2;40;2;64;64-AE-165-43
82;61;2;61;3;64;64-AE-165-69
83;41,4;2;41;2;64;64-AE-165-72
84;61,7;2;61;3;64;64-AE-165-70
85;41,65;2;41;2;64;64-AE-165-68
86;84,31;2;142;5;65;65-AL-126-22
87;34,85;2;142;5;65;65-AL-126-20
88;74;2;74;3;66;66-AL-16-104
89;49,16;2;48;2;67;67-AM-224-3
90;50,74;2;50;2;68;68-AT-884-14
91;36,08;2;36;2;68;68-AT-884-11
92;20,15;2;20;1;69;69-EX-44-7
93;47,52;2;38;2;70;70-CK-98-30
94;86,92;1;91;5;71;71-AL-246-39
95;37,24;2;40;2;72;72-DK-374-1
96;43,12;2;45;2;73;73-AE-932-173
97;30,42;2;30;1;74;74-ZP-247-9
98;71,03;2;75;4;75;75-BE-67-37
99;62,95;2;62;2;76;76-BE-4-290
100;43,54;2;43;2;77;77-PY-55-74
101;128,34;2;128;5;78;78-C-1192-49
102;43,42;2;43;2;79;79-AB-661-4
103;49,45;2;55;3;80;80-AK-13-39
104;62,1;2;65;3;81;81-AX-29-82
105;59,35;2;59;3;82;82-AH-210-117
106;52,85;2;55;2;83;83-O-119-6
107;106,31;1;90;4;84;84-BY-271-4
108;77,93;2;77;4;85;85-BR-14-79
109;46;2;46;2;86;86-P-166-25
110;93,65;2;94;4;86;86-P-166-14
111;24,63;2;24;2;87;87-CA-10-6
112;67,1;2;67;3;88;88-AM-78-6
113;80;1;66;4;89;89-AL-48-68
114;48,02;2;49;2;90;90-AR-127-110
115;16,37;2;17;1;91;91-Q-95-8
116;72,53;2;69;4;92;92-AB-337-109
117;90,07;1;93;5;93;93-AB-18-31
118;57,1;2;56;3;94;94-BV-297-544
119;67,01;2;68;4;94;94-BV-297-709
120;67,19;2;68;4;94;94-BV-297-379
121;69,08;2;68;4;94;94-BV-297-105
122;41,82;2;47;1;95;95-AB-85-4
123;165,11;2;156;6;96;96-AS-122-13
124;124,01;2;77;3;97;97-AP-54-3
125;24,32;2;25;1;98;98-D-774-46
126;106,43;2;133;4;99;99-G-353-1
127;32,89;2;33;1;100;100-AS-442-9
128;37,66;2;41;2;101;101-BS-105-24
129;58,42;2;58;3;102;102-CH-151-129
130;99,04;2;98;4;103;103-LA-312-19
131;30,2;2;95;3;104;104-LB-299-33
132;20,77;2;126;5;104;104-LB-299-49
133;68,75;2;68;3;105;105-LP-2-24
