idTransaction;idBien;dateMutation;valeurFonciere
1;1;02/01/2020;165000
2;2;02/01/2020;355680
3;3;02/01/2020;229500
4;4;02/01/2020;125000
5;5;02/01/2020;90000
6;6;10/02/2020;145000
7;7;02/01/2020;93000
8;8;02/01/2020;298100
9;9;02/01/2020;163500
10;10;26/05/2020;183000
11;11;02/01/2020;53000
12;12;09/01/2020;91000
13;13;02/01/2020;136000
14;14;02/01/2020;125900
15;15;02/01/2020;234000
16;16;02/01/2020;46210
17;17;02/01/2020;129000
18;18;02/01/2020;122500
19;19;02/01/2020;86025
20;20;02/01/2020;79000
21;21;02/01/2020;81795
22;22;20/05/2020;87130
23;23;02/01/2020;156000
24;24;02/01/2020;139900
25;25;02/01/2020;163870
26;26;02/01/2020;108100
27;27;02/01/2020;205000
28;28;02/01/2020;94000
29;29;02/01/2020;149500
30;30;11/02/2020;178200
31;31;02/01/2020;111500
32;32;07/02/2020;116000
33;33;06/05/2020;108000
34;34;12/06/2020;127000
35;35;02/01/2020;140000
36;36;02/01/2020;122850
37;37;02/01/2020;135850
38;38;02/01/2020;135500
39;39;02/01/2020;71250
40;40;02/01/2020;107000
41;41;25/03/2020;210000
42;42;02/01/2020;148400
43;43;02/01/2020;132000
44;44;02/01/2020;107194
45;45;02/01/2020;57200
46;46;02/01/2020;124770
47;47;02/01/2020;67000
48;48;02/01/2020;150830
49;49;02/01/2020;68900
50;50;02/01/2020;120000
51;51;02/01/2020;135460
52;52;02/01/2020;62000
53;53;02/01/2020;281000
54;54;02/01/2020;357000
55;55;02/01/2020;374000
56;56;02/01/2020;1147650
57;57;02/01/2020;145000
58;58;02/01/2020;324120
59;59;02/01/2020;408220
60;60;17/01/2020;382000
61;61;06/05/2020;189000
62;62;02/01/2020;582670
63;63;03/06/2020;303000
64;64;02/01/2020;80000
65;65;02/01/2020;840250
66;66;06/03/2020;492600
67;67;09/03/2020;284200
68;68;02/01/2020;266000
69;69;11/05/2020;232500
70;70;02/01/2020;473000
71;71;30/01/2020;488000
72;72;02/01/2020;207200
73;73;02/01/2020;49000
74;74;02/01/2020;101250
75;75;10/06/2020;115000
76;76;02/01/2020;35000
77;77;02/01/2020;132000
78;78;02/01/2020;472950
79;79;02/01/2020;478161
80;80;02/01/2020;153700
81;81;02/01/2020;155800
82;82;21/01/2020;231858
83;83;23/01/2020;168102
84;84;28/01/2020;236412
85;85;07/02/2020;183697
86;86;02/01/2020;624000
87;87;22/05/2020;234500
88;88;02/01/2020;135700
89;89;02/01/2020;196000
90;90;02/01/2020;172850
91;91;14/05/2020;130000
92;92;02/01/2020;120500
93;93;02/01/2020;224000
94;94;02/01/2020;367000
95;95;02/01/2020;132840
96;96;02/01/2020;78500
97;97;02/01/2020;72000
98;98;02/01/2020;107100
99;99;02/01/2020;134000
100;100;02/01/2020;68181
101;101;02/01/2020;275900
102;102;02/01/2020;160000
103;103;02/01/2020;267740
104;104;02/01/2020;395300
105;105;02/01/2020;269000
106;106;02/01/2020;406400
107;107;02/01/2020;326500
108;108;02/01/2020;275050
109;109;02/01/2020;138000
110;110;04/02/2020;295000
111;111;02/01/2020;65000
112;112;02/01/2020;185750
113;113;02/01/2020;235000
114;114;02/01/2020;176000
115;115;02/01/2020;140000
116;116;02/01/2020;170950
117;117;02/01/2020;265000
118;118;02/01/2020;112000
119;119;21/01/2020;119812
120;120;20/02/2020;152295
121;121;28/05/2020;183000
122;122;03/01/2020;102000
123;123;03/01/2020;142000
124;124;03/01/2020;164000
125;125;03/01/2020;33880
126;126;03/01/2020;71000
127;127;03/01/2020;43000
128;128;03/01/2020;181875
129;129;03/01/2020;240250
130;130;03/01/2020;616900
131;131;03/01/2020;212550
132;132;09/03/2020;692000
133;133;03/01/2020;317800
134;134;03/01/2020;420000
135;135;28/04/2020;567000
136;136;03/01/2020;44000
137;137;03/01/2020;237720
138;138;03/01/2020;146000
139;139;03/01/2020;69350
140;140;03/01/2020;121000
141;141;03/01/2020;70000
142;142;03/01/2020;145000
143;143;03/01/2020;43000
144;144;03/01/2020;210800
145;145;14/02/2020;156000
146;146;07/03/2020;104000
147;147;15/04/2020;190000
148;148;11/06/2020;70000
149;149;03/01/2020;210000
150;150;03/01/2020;96000
151;151;03/01/2020;135000
152;152;03/01/2020;37000
153;153;03/01/2020;190000
154;154;03/01/2020;39450
155;155;03/01/2020;28500
156;156;03/01/2020;158800
157;157;03/01/2020;268800
158;158;03/01/2020;96450
159;159;03/01/2020;28000
160;160;17/01/2020;55500
161;161;03/01/2020;73470
162;162;03/01/2020;49500
163;163;03/01/2020;67000
164;164;03/01/2020;176000
165;165;23/01/2020;85000
166;166;03/01/2020;278300
167;167;03/01/2020;296651
168;168;23/01/2020;320575
169;169;03/01/2020;159500
170;170;03/01/2020;98545
171;171;03/01/2020;98200
172;172;03/01/2020;110500
173;173;03/01/2020;44500
174;174;03/01/2020;332000
175;175;03/01/2020;221060
176;176;03/01/2020;174845
177;177;03/01/2020;42000
178;178;03/01/2020;445000
179;179;03/01/2020;232750
180;180;03/01/2020;257800
181;181;03/01/2020;125000
182;182;25/02/2020;133300
183;183;03/01/2020;104793
184;184;03/01/2020;146000
185;185;03/01/2020;174000
186;186;03/01/2020;110000
187;187;03/01/2020;370700
188;188;03/01/2020;62800
189;189;03/01/2020;251105
190;190;03/01/2020;342700
191;191;03/01/2020;65000
192;192;03/01/2020;133000
193;193;03/01/2020;66370
194;194;03/01/2020;594700
195;195;03/01/2020;71000
196;196;12/06/2020;53000
197;197;03/01/2020;140000
198;198;02/06/2020;147000
199;199;03/01/2020;112000
200;200;03/01/2020;121000
201;201;03/01/2020;109950
202;202;03/01/2020;314500
203;203;03/01/2020;167600
204;204;03/01/2020;157080
205;205;03/01/2020;164720
206;206;03/01/2020;273080
207;207;03/01/2020;118650
208;208;03/01/2020;157000
209;209;03/01/2020;63885
210;210;03/01/2020;255000
211;211;03/01/2020;445000
212;212;03/01/2020;852000
213;213;03/01/2020;335000
214;214;03/01/2020;278500
215;215;03/01/2020;497270
216;216;31/01/2020;447000
217;217;03/01/2020;1469500
218;218;03/01/2020;270000
219;219;03/01/2020;434000
220;220;03/01/2020;352000
